logloss,brier,accuracy,modelo,fold
1.0012086237333904,0.597556264391579,0.546875,Baseline,2010
0.9812103164421931,0.5854265157933687,0.53125,Poisson,2010
0.9540115408032985,0.5674007229035333,0.5625,Dixon-Coles,2010
1.0202003875699,0.6075951898457836,0.5,XGBoost,2010
0.9180155674259531,0.5371302574710551,0.640625,Baseline,2014
1.0098095644756224,0.6088694425577479,0.5,Poisson,2014
0.9538323607001029,0.5676665730222703,0.578125,Dixon-Coles,2014
0.935894374894267,0.5535564809352806,0.59375,XGBoost,2014
1.0342246807843338,0.6200682839133793,0.515625,Baseline,2018
0.9748122948764943,0.5815698202570297,0.578125,Poisson,2018
0.9508134253702821,0.5627682124813862,0.578125,Dixon-Coles,2018
0.9921350012804294,0.5933942481725324,0.53125,XGBoost,2018
0.9876982570009979,0.5875500348229425,0.5625,Baseline,2022
0.9932602786722641,0.5802634590157176,0.578125,Poisson,2022
1.0415586309169247,0.6039817897910531,0.53125,Dixon-Coles,2022
1.0723514794688604,0.6144395548252075,0.484375,XGBoost,2022
