fold,y_real,Baseline_H,Baseline_D,Baseline_A,Poisson_H,Poisson_D,Poisson_A,Dixon-Coles_H,Dixon-Coles_D,Dixon-Coles_A,XGBoost_H,XGBoost_D,XGBoost_A
2010,1,0.21358567340209222,0.23418294734118256,0.5522313792567253,0.21727876102271798,0.2905718857516397,0.49214935322564246,0.2236159740016312,0.29034203279970694,0.4860419931986619,0.3342802,0.33616063,0.32955915
2010,1,0.21358567340209222,0.23418294734118256,0.5522313792567253,0.21726163692223127,0.305682254674473,0.4770561084032955,0.30573507784063403,0.33726140310872277,0.35700351905064326,0.29775718,0.32591864,0.37632412
2010,0,0.5522313792567253,0.23418294734118256,0.21358567340209222,0.5355226617887691,0.2879111761121049,0.1765661620991259,0.5324148867443133,0.2877143981061485,0.17987071514953817,0.6304774,0.18324926,0.18627335
2010,1,0.5522313792567253,0.23418294734118256,0.21358567340209222,0.48816968775121755,0.2803350076844661,0.23149530456431627,0.5888217170947116,0.24134217859702836,0.16983610430826018,0.75536364,0.08012565,0.16451065
2010,0,0.21358567340209222,0.23418294734118256,0.5522313792567253,0.3123199322593865,0.3749979529021481,0.3126821148384657,0.3950187796483209,0.340618889212944,0.2643623311387352,0.33984485,0.21828467,0.44187054
2010,2,0.5522313792567253,0.23418294734118256,0.21358567340209222,0.463619829646012,0.30991109984141607,0.22646907051257187,0.5184873392045142,0.29061119177624484,0.19090146901924082,0.4355346,0.24647246,0.31799296
2010,2,0.21358567340209222,0.23418294734118256,0.5522313792567253,0.20839187124110337,0.31687378758454865,0.47473434117434793,0.18047858786167403,0.3100662578399762,0.5094551542983498,0.44864893,0.21094796,0.34040308
2010,0,0.5522313792567253,0.23418294734118256,0.21358567340209222,0.4474269969409217,0.27253103211539803,0.2800419709436803,0.4476664719124825,0.30769954606585326,0.24463398202166411,0.57752126,0.21795776,0.20452096
2010,0,0.21358567340209222,0.23418294734118256,0.5522313792567253,0.38216232116351445,0.3360984813407457,0.28173919749573995,0.45068635154558345,0.2953928080260123,0.2539208404284044,0.28737593,0.25530133,0.45732275
2010,0,0.5522313792567253,0.23418294734118256,0.21358567340209222,0.4937468496710965,0.3049208589759958,0.20133229135290778,0.5307650712892269,0.2983976982054184,0.17083723050535468,0.5484404,0.13596982,0.31558976
2010,1,0.5522313792567253,0.23418294734118256,0.21358567340209222,0.42578779918434895,0.33863483427792473,0.23557736653772623,0.4060092866473204,0.34401177251942106,0.2499789408332585,0.46336097,0.21521363,0.32142538
2010,0,0.5522313792567253,0.23418294734118256,0.21358567340209222,0.8094576023570851,0.1482141107558926,0.04232828688702228,0.7901956965807482,0.16024348835415705,0.04956081506509486,0.86727804,0.110007145,0.022714775
2010,1,0.21358567340209222,0.23418294734118256,0.5522313792567253,0.2562064209090229,0.28977187812548894,0.4540217009654882,0.24631337571311795,0.30045726303466275,0.45322936125221924,0.19216952,0.25466383,0.5531666
